mode,size_mb,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda,1,1,0.001144,0.126357,0.000090,0.035119,0.012533,0.002358,0.047653,0.174010,0.002448,20.985210,2.470064,247.006414,74.021522
cuda,1,2,0.001093,0.115193,0.000092,0.035091,0.012924,0.002356,0.048014,0.163208,0.002449,20.827079,2.451451,245.145134,72.081120
cuda,1,3,0.001214,0.108889,0.000093,0.034928,0.012452,0.002548,0.047380,0.156269,0.002640,21.105973,2.484279,248.427852,71.370215
cuda,1,4,0.001273,0.111980,0.000091,0.035121,0.012779,0.002424,0.047900,0.159881,0.002515,20.876682,2.457290,245.728986,71.613055
cuda,1,5,0.001408,0.109428,0.000099,0.035453,0.015707,0.002467,0.051160,0.160588,0.002567,19.546552,2.300727,230.072694,69.740487
cuda,1,6,0.001106,0.107348,0.000093,0.035452,0.015602,0.002468,0.051055,0.158402,0.002561,19.586835,2.305468,230.546839,69.385680
cuda,1,7,0.001325,0.108848,0.000092,0.034980,0.012931,0.002375,0.047910,0.156759,0.002467,20.872277,2.456771,245.677136,71.010743
cuda,1,8,0.000933,0.112749,0.000100,0.035483,0.017951,0.002724,0.053435,0.166184,0.002825,18.714347,2.202772,220.277225,69.545461
cuda,1,9,0.000977,0.106937,0.000090,0.035039,0.012496,0.002451,0.047534,0.154471,0.002541,21.037354,2.476202,247.620174,70.872452
cuda,1,10,0.001099,0.109908,0.000088,0.035344,0.014255,0.002387,0.049599,0.159507,0.002475,20.161581,2.373119,237.311895,70.456052
cuda,50,1,0.041156,0.108855,0.007776,1.877909,2.454868,0.108592,4.332778,4.441633,0.116368,11.539941,3.986364,398.636398,5.070741
cuda,50,2,0.042727,0.111494,0.007780,1.872027,2.474752,0.110949,4.346778,4.458272,0.118729,11.502772,3.973524,397.352423,5.163959
cuda,50,3,0.041052,0.110340,0.007817,1.882407,2.432584,0.117052,4.314990,4.425330,0.124868,11.587512,4.002797,400.279681,5.315039
cuda,50,4,0.040886,0.109178,0.007771,1.869754,2.358008,0.106974,4.227762,4.336940,0.114745,11.826589,4.085384,408.538376,5.163161
cuda,50,5,0.040775,0.113642,0.007774,1.873237,2.372067,0.111088,4.245304,4.358946,0.118862,11.777720,4.068503,406.850257,5.333959
cuda,50,6,0.040575,0.109772,0.007772,1.879133,2.487078,0.112344,4.366212,4.475983,0.120116,11.451575,3.955839,395.583866,5.136033
cuda,50,7,0.040416,0.109707,0.007772,1.882169,2.423774,0.112644,4.305944,4.415651,0.120416,11.611857,4.011207,401.120659,5.211542
cuda,50,8,0.041684,0.110556,0.007773,1.877511,2.457497,0.113437,4.335009,4.445565,0.121210,11.534003,3.984313,398.431257,5.213434
cuda,50,9,0.041599,0.109622,0.007794,1.878562,2.511710,0.108373,4.390272,4.499894,0.116167,11.388816,3.934159,393.415932,5.017660
cuda,50,10,0.039070,0.110632,0.007782,1.875621,2.447954,0.112719,4.323575,4.434207,0.120501,11.564505,3.994849,399.484918,5.212511
cuda,100,1,0.076141,0.112034,0.015685,3.929926,4.914268,0.219122,8.844193,8.956227,0.234806,11.306854,3.979162,397.916182,3.872616
cuda,100,2,0.079920,0.115366,0.015696,3.930506,4.905557,0.220651,8.836063,8.951429,0.236347,11.317258,3.982823,398.282314,3.929124
cuda,100,3,0.078450,0.112803,0.015677,3.924673,4.838744,0.221607,8.763416,8.876220,0.237284,11.411075,4.015840,401.583974,3.944106
cuda,100,4,0.076876,0.114646,0.015730,3.925450,4.767510,0.220249,8.692960,8.807606,0.235980,11.503562,4.048388,404.838830,3.980946
cuda,100,5,0.081337,0.124626,0.015782,3.927451,4.737056,0.222181,8.664507,8.789133,0.237963,11.541338,4.061683,406.168265,4.125428
cuda,100,6,0.077694,0.114347,0.015685,3.928891,5.564295,0.236863,9.493186,9.607533,0.252548,10.533871,3.707130,370.713007,3.818822
cuda,100,7,0.075752,0.114073,0.015686,3.932419,5.148937,0.224153,9.081356,9.195429,0.239840,11.011571,3.875245,387.524457,3.848791
cuda,100,8,0.079657,0.124340,0.015746,3.933964,5.044969,0.223820,8.978934,9.103274,0.239566,11.137180,3.919449,391.944934,3.997535
cuda,100,9,0.076838,0.121936,0.015683,3.932362,4.994550,0.226537,8.926912,9.048848,0.242220,11.202082,3.942290,394.229017,4.024330
cuda,100,10,0.081704,0.114575,0.015723,3.938778,4.922295,0.227705,8.861074,8.975649,0.243428,11.285314,3.971582,397.158151,3.988603
cuda,200,1,0.161620,0.119445,0.031539,8.230777,9.884096,0.437865,18.114874,18.234319,0.469404,11.040651,4.106127,410.612698,3.229346
cuda,200,2,0.155688,0.121038,0.031502,8.218614,9.713534,0.441358,17.932149,18.053187,0.472860,11.153153,4.147968,414.796760,3.289712
cuda,200,3,0.150601,0.120119,0.031504,8.213872,9.649878,0.436720,17.863750,17.983868,0.468223,11.195858,4.163850,416.384986,3.271499
cuda,200,4,0.149843,0.119573,0.031498,8.221294,9.829382,0.440077,18.050676,18.170250,0.471575,11.079917,4.120731,412.073053,3.253385
cuda,200,5,0.156417,0.119402,0.031496,8.224099,9.661602,0.446496,17.885700,18.005102,0.477991,11.182117,4.158740,415.873969,3.317912
cuda,200,6,0.153033,0.124358,0.031508,8.220290,9.646463,0.443600,17.866753,17.991111,0.475108,11.193976,4.163150,416.315001,3.332014
cuda,200,7,0.152624,0.121208,0.031501,8.218256,9.654584,0.438641,17.872840,17.994048,0.470142,11.190163,4.161732,416.173211,3.286361
cuda,200,8,0.153399,0.120968,0.031509,8.222102,9.613419,0.439947,17.835520,17.956489,0.471456,11.213578,4.170440,417.044027,3.299222
cuda,200,9,0.150928,0.124680,0.031503,8.223207,9.660567,0.438566,17.883774,18.008454,0.470069,11.183322,4.159188,415.918760,3.302613
cuda,200,10,0.152840,0.121959,0.031504,8.227556,9.573787,0.437097,17.801342,17.923301,0.468600,11.235108,4.178447,417.844735,3.294925
