mode,size_mb,streams,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda_ms,1,2,1,0.001287,0.128253,0.000096,0.053805,0.012954,0.255672,0.066759,0.195012,0.255768,14.979341,1.763143,176.314331,196.921848
cuda_ms,1,2,2,0.001090,0.099734,0.000095,0.049371,0.012733,0.217408,0.062104,0.161838,0.217503,16.101973,1.895283,189.528272,196.021077
cuda_ms,1,2,3,0.001342,0.101516,0.000097,0.048088,0.013083,0.217497,0.061171,0.162688,0.217594,16.347513,1.924184,192.418408,196.148976
cuda_ms,1,2,4,0.001355,0.102330,0.000097,0.048097,0.012384,0.217558,0.060481,0.162811,0.217655,16.534079,1.946144,194.614375,196.537240
cuda_ms,1,2,5,0.001130,0.101768,0.000097,0.048276,0.012280,0.217567,0.060556,0.162325,0.217664,16.513608,1.943734,194.373421,196.786383
cuda_ms,1,2,6,0.001489,0.105726,0.000109,0.047975,0.012384,0.217676,0.060359,0.166085,0.217785,16.567631,1.950093,195.009301,194.786447
cuda_ms,1,2,7,0.001094,0.099791,0.000097,0.047858,0.014804,0.217987,0.062662,0.162453,0.218084,15.958737,1.878423,187.842310,195.672317
cuda_ms,1,2,8,0.001126,0.103041,0.000104,0.048339,0.016023,0.217723,0.064361,0.167403,0.217827,15.537259,1.828813,182.881305,191.674366
cuda_ms,1,2,9,0.001122,0.104135,0.000099,0.048624,0.013293,0.217765,0.061917,0.166052,0.217864,16.150624,1.901009,190.100918,193.914169
cuda_ms,1,2,10,0.001507,0.100920,0.000097,0.048435,0.013245,0.217806,0.061680,0.162599,0.217903,16.212815,1.908329,190.832944,196.078816
cuda_ms,1,4,1,0.000942,0.102658,0.000100,0.071152,0.015670,0.221045,0.086823,0.189481,0.221145,11.517689,1.355690,135.568961,170.889692
cuda_ms,1,4,2,0.001222,0.100777,0.000097,0.069803,0.017207,0.221012,0.087010,0.187787,0.221109,11.492885,1.352770,135.276998,171.409987
cuda_ms,1,4,3,0.000888,0.102987,0.000104,0.070285,0.016647,0.220911,0.086931,0.189918,0.221015,11.503320,1.353998,135.399823,170.600941
cuda_ms,1,4,4,0.001219,0.100008,0.000107,0.070271,0.013294,0.220939,0.083566,0.183574,0.221046,11.966660,1.408536,140.853575,174.891185
cuda_ms,1,4,5,0.001281,0.101328,0.000118,0.070121,0.014716,0.220727,0.084837,0.186165,0.220845,11.787287,1.387423,138.742260,173.057772
cuda_ms,1,4,6,0.001343,0.100528,0.000097,0.069695,0.014208,0.220938,0.083903,0.184432,0.221035,11.918503,1.402867,140.286742,174.353632
