mode,size_mb,streams,avg_time_io_s,avg_time_alloc_host_dev_s,avg_time_h2d_s,avg_time_kernel_gpu_s,avg_time_lcp_cpu_s,avg_time_d2h_s,avg_time_compute_pure_s,avg_time_total_compute_s,avg_time_transfers_comm_s,avg_throughput_MBps,avg_speedup,avg_efficiency_pct,avg_memory_overhead_ratio_pct
cuda_ms,1,2,0.001254,0.104721,0.000099,0.048887,0.013318,0.221466,0.062205,0.166927,0.221565,16.090358,1.893915,189.39,195.45
cuda_ms,1,4,0.001148,0.100984,0.000101,0.070172,0.015276,0.220900,0.085448,0.186432,0.221000,11.707153,1.377990,137.80,172.73
cuda_ms,1,8,0.001163,0.101756,0.000106,0.107605,0.013866,0.217686,0.121471,0.223226,0.217792,8.234137,0.969199,96.92,143.16
cuda_ms,50,2,0.042599,0.112732,0.007784,2.808835,2.370108,19.339759,5.178944,5.291676,19.347543,9.655737,3.335483,333.55,367.80
cuda_ms,50,4,0.042921,0.117562,0.007781,3.741481,2.385073,19.694565,6.126553,6.244115,19.702346,8.161744,2.819398,281.94,317.44
cuda_ms,50,8,0.042131,0.113322,0.007803,4.644107,2.350630,19.386978,6.994737,7.108060,19.394781,7.148733,2.469463,246.95,274.47
cuda_ms,100,2,0.079435,0.117066,0.015690,5.840996,4.871492,39.385211,10.712487,10.829553,39.400902,9.335486,3.285389,328.54,364.93
cuda_ms,100,4,0.079718,0.117115,0.015691,7.708499,4.853712,39.731911,12.562211,12.679326,39.747602,7.961139,2.801722,280.17,314.44
cuda_ms,100,8,0.077390,0.116946,0.015691,9.597840,4.763838,39.380951,14.361678,14.478624,39.396642,6.963397,2.450592,245.06,272.93
cuda_ms,200,2,0.152375,0.124822,0.031517,12.074390,9.729165,79.457529,21.803555,21.928377,79.489046,9.172966,3.411517,341.15,363.07
cuda_ms,200,4,0.149163,0.122331,0.031506,15.964680,9.689368,79.789727,25.654048,25.776379,79.821232,7.796178,2.899475,289.95,310.15
cuda_ms,200,8,0.153829,0.123970,0.031504,19.827728,9.819840,79.461481,29.647567,29.771537,79.492985,6.746516,2.509096,250.91,267.45
