mode,size_mb,run,ranks,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi,1,1,4,0.001430,0.000001,0.001468,0.001698,0.000516,0.000026,0.003682,0.003709,0.000051,12.934247,1.572409,39.310237,0.026557
mpi,1,2,4,0.001301,0.000001,0.001451,0.001668,0.000484,0.000026,0.003603,0.003629,0.000037,13.217329,1.606824,40.170591,0.027111
mpi,1,3,4,0.001334,0.000001,0.001469,0.001706,0.000493,0.000026,0.003668,0.003695,0.000030,12.983510,1.578398,39.459958,0.038075
mpi,1,4,4,0.001323,0.000001,0.001507,0.001697,0.000495,0.000025,0.003699,0.003726,0.000027,12.872952,1.564958,39.123948,0.039615
mpi,1,5,4,0.001340,0.000001,0.001460,0.001901,0.000507,0.000026,0.003868,0.003896,0.000026,12.309591,1.496470,37.411760,0.037908
mpi,1,6,4,0.001316,0.000001,0.001506,0.001709,0.000514,0.000026,0.003730,0.003757,0.000028,12.767609,1.552151,38.803784,0.037416
mpi,1,7,4,0.001332,0.000001,0.001481,0.001691,0.000531,0.000025,0.003703,0.003729,0.000027,12.860329,1.563423,39.085582,0.039576
mpi,1,8,4,0.001300,0.000001,0.001485,0.001696,0.000557,0.000026,0.003738,0.003766,0.000028,12.737797,1.548527,38.713179,0.037328
mpi,1,9,4,0.001330,0.000001,0.001484,0.001715,0.000553,0.000026,0.003752,0.003779,0.000027,12.692976,1.543078,38.576956,0.037224
mpi,1,10,4,0.001352,0.000002,0.001482,0.001691,0.000530,0.000037,0.003702,0.003741,0.000026,12.861541,1.563571,39.089267,0.050887
mpi,50,1,4,0.003740,0.000001,0.153867,0.114339,0.054000,0.001276,0.322206,0.323483,0.000941,7.389535,1.211092,30.277299,0.000434
mpi,50,2,4,0.003897,0.000001,0.154470,0.115274,0.053325,0.001269,0.323069,0.324340,0.001516,7.369800,1.207857,30.196437,0.000432
mpi,50,3,4,0.003729,0.000001,0.153098,0.112641,0.054817,0.001293,0.320556,0.321850,0.001193,7.427566,1.217325,30.433125,0.000458
mpi,50,4,4,0.003788,0.000001,0.153349,0.114949,0.055523,0.001230,0.323822,0.325053,0.001129,7.352663,1.205049,30.126224,0.000431
