mode,size_mb,run,rank,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi,1,1,0,0.001462,0.000048,0.001430,0.000001
mpi,1,1,1,0.001468,0.000022,0.001430,0.000001
mpi,1,1,2,0.001450,0.000037,0.001430,0.000001
mpi,1,1,3,0.001455,0.000051,0.001430,0.000001
mpi,1,2,0,0.001451,0.000037,0.001301,0.000001
mpi,1,2,1,0.001446,0.000015,0.001301,0.000001
mpi,1,2,2,0.001450,0.000021,0.001301,0.000001
mpi,1,2,3,0.001442,0.000036,0.001301,0.000001
mpi,1,3,0,0.001460,0.000028,0.001334,0.000001
mpi,1,3,1,0.001469,0.000017,0.001334,0.000001
mpi,1,3,2,0.001439,0.000023,0.001334,0.000001
mpi,1,3,3,0.001439,0.000030,0.001334,0.000001
mpi,1,4,0,0.001487,0.000027,0.001323,0.000001
mpi,1,4,1,0.001507,0.000016,0.001323,0.000001
mpi,1,4,2,0.001471,0.000022,0.001323,0.000001
mpi,1,4,3,0.001476,0.000027,0.001323,0.000001
mpi,1,5,0,0.001449,0.000026,0.001340,0.000001
mpi,1,5,1,0.001460,0.000014,0.001340,0.000001
mpi,1,5,2,0.001438,0.000021,0.001340,0.000001
mpi,1,5,3,0.001438,0.000026,0.001340,0.000001
mpi,1,6,0,0.001499,0.000028,0.001316,0.000001
mpi,1,6,1,0.001506,0.000016,0.001316,0.000001
mpi,1,6,2,0.001488,0.000022,0.001316,0.000001
mpi,1,6,3,0.001488,0.000028,0.001316,0.000001
mpi,1,7,0,0.001473,0.000027,0.001332,0.000001
mpi,1,7,1,0.001481,0.000015,0.001332,0.000001
mpi,1,7,2,0.001469,0.000022,0.001328,0.000001
mpi,1,7,3,0.001472,0.000027,0.001328,0.000001
mpi,1,8,0,0.001478,0.000028,0.001300,0.000001
mpi,1,8,1,0.001485,0.000015,0.001300,0.000001
mpi,1,8,2,0.001473,0.000022,0.001300,0.000001
mpi,1,8,3,0.001473,0.000028,0.001297,0.000001
mpi,1,9,0,0.001474,0.000027,0.001330,0.000001
mpi,1,9,1,0.001484,0.000016,0.001330,0.000001
mpi,1,9,2,0.001474,0.000022,0.001330,0.000001
mpi,1,9,3,0.001474,0.000027,0.001330,0.000001
mpi,1,10,0,0.001470,0.000026,0.001352,0.000002
mpi,1,10,1,0.001482,0.000015,0.001352,0.000002
mpi,1,10,2,0.001466,0.000020,0.001352,0.000002
mpi,1,10,3,0.001470,0.000026,0.001352,0.000002
mpi,50,1,0,0.153729,0.000941,0.003740,0.000001
mpi,50,1,1,0.152634,0.000431,0.003740,0.000001
mpi,50,1,2,0.150419,0.000691,0.003740,0.000001
mpi,50,1,3,0.153867,0.000941,0.003740,0.000001
mpi,50,2,0,0.152865,0.001516,0.003897,0.000001
mpi,50,2,1,0.154470,0.000813,0.003897,0.000001
mpi,50,2,2,0.151325,0.001172,0.003897,0.000001
mpi,50,2,3,0.153913,0.001516,0.003897,0.000001
mpi,50,3,0,0.152589,0.001193,0.003729,0.000001
mpi,50,3,1,0.152631,0.000603,0.003729,0.000001
mpi,50,3,2,0.148003,0.000913,0.003729,0.000001
mpi,50,3,3,0.153098,0.001193,0.003729,0.000001
mpi,50,4,0,0.153274,0.001129,0.003788,0.000001
mpi,50,4,1,0.151347,0.000555,0.003788,0.000001
mpi,50,4,2,0.150182,0.000871,0.003788,0.000001
mpi,50,4,3,0.153349,0.001125,0.003788,0.000001
mpi,50,5,0,0.152336,0.001147,0.003849,0.000001
mpi,50,5,1,0.153815,0.000491,0.003849,0.000001
mpi,50,5,2,0.154289,0.000842,0.003849,0.000001
mpi,50,5,3,0.154296,0.001147,0.003849,0.000001
mpi,50,6,0,0.153324,0.001276,0.003700,0.000001
mpi,50,6,1,0.153454,0.000631,0.003700,0.000001
mpi,50,6,2,0.152345,0.000970,0.003700,0.000001
mpi,50,6,3,0.154213,0.001276,0.003700,0.000001
mpi,50,7,0,0.152566,0.001061,0.003772,0.000001
mpi,50,7,1,0.148859,0.000528,0.003772,0.000001
mpi,50,7,2,0.150726,0.000794,0.003772,0.000001
mpi,50,7,3,0.151795,0.001061,0.003772,0.000001
mpi,50,8,0,0.153706,0.000923,0.003712,0.000001
mpi,50,8,1,0.154258,0.000421,0.003712,0.000001
mpi,50,8,2,0.150527,0.000682,0.003712,0.000001
mpi,50,8,3,0.154131,0.000923,0.003712,0.000001
mpi,50,9,0,0.153754,0.001074,0.003728,0.000001
mpi,50,9,1,0.154118,0.000475,0.003728,0.000001
mpi,50,9,2,0.149641,0.000790,0.003728,0.000001
mpi,50,9,3,0.154118,0.001074,0.003728,0.000001
mpi,50,10,0,0.154334,0.001278,0.003771,0.000001
mpi,50,10,1,0.153892,0.000570,0.003771,0.000001
mpi,50,10,2,0.151506,0.000933,0.003771,0.000001
mpi,50,10,3,0.154323,0.001278,0.003771,0.000001
mpi,100,1,0,0.328425,0.002956,0.006287,0.000001
mpi,100,1,1,0.328827,0.001427,0.006287,0.000001
mpi,100,1,2,0.317390,0.002163,0.006287,0.000001
mpi,100,1,3,0.321530,0.002956,0.006287,0.000001
mpi,100,2,0,0.332154,0.002888,0.006173,0.000001
mpi,100,2,1,0.328828,0.001378,0.006173,0.000001
mpi,100,2,2,0.326752,0.002090,0.006173,0.000001
mpi,100,2,3,0.330291,0.002889,0.006176,0.000001
mpi,100,3,0,0.330389,0.002700,0.006221,0.000001
mpi,100,3,1,0.321275,0.001357,0.006221,0.000001
mpi,100,3,2,0.328712,0.002005,0.006221,0.000001
mpi,100,3,3,0.326242,0.002700,0.006221,0.000001
mpi,100,4,0,0.330916,0.002966,0.006424,0.000001
mpi,100,4,1,0.327603,0.001427,0.006424,0.000001
mpi,100,4,2,0.321787,0.002181,0.006424,0.000001
mpi,100,4,3,0.325260,0.002966,0.006424,0.000001
mpi,100,5,0,0.325744,0.002974,0.006528,0.000001
mpi,100,5,1,0.322127,0.001356,0.006528,0.000001
mpi,100,5,2,0.313026,0.002148,0.006528,0.000001
mpi,100,5,3,0.318570,0.002974,0.006528,0.000001
mpi,100,6,0,0.333925,0.002614,0.006451,0.000001
mpi,100,6,1,0.331566,0.001268,0.006452,0.000001
mpi,100,6,2,0.331575,0.001907,0.006452,0.000001
mpi,100,6,3,0.331389,0.002611,0.006451,0.000001
mpi,100,7,0,0.325450,0.003083,0.006531,0.000001
mpi,100,7,1,0.322724,0.001446,0.006531,0.000001
mpi,100,7,2,0.322858,0.002211,0.006531,0.000001
mpi,100,7,3,0.312740,0.003083,0.006531,0.000001
mpi,100,8,0,0.329501,0.002605,0.006299,0.000001
mpi,100,8,1,0.324602,0.001302,0.006298,0.000001
mpi,100,8,2,0.321017,0.001882,0.006299,0.000001
mpi,100,8,3,0.326941,0.002605,0.006299,0.000001
mpi,100,9,0,0.336448,0.002606,0.006361,0.000001
mpi,100,9,1,0.333847,0.001217,0.006361,0.000001
mpi,100,9,2,0.333799,0.001894,0.006361,0.000001
mpi,100,9,3,0.333841,0.002602,0.006361,0.000001
mpi,100,10,0,0.327603,0.003072,0.006433,0.000001
mpi,100,10,1,0.324945,0.001545,0.006433,0.000001
mpi,100,10,2,0.322388,0.002309,0.006433,0.000001
mpi,100,10,3,0.315229,0.003072,0.006433,0.000001
mpi,200,1,0,0.725795,0.006204,0.011726,0.000001
mpi,200,1,1,0.729166,0.003067,0.011726,0.000001
mpi,200,1,2,0.729246,0.004656,0.011726,0.000001
mpi,200,1,3,0.696495,0.006204,0.011726,0.000001
mpi,200,2,0,0.718198,0.005694,0.010954,0.000001
mpi,200,2,1,0.703939,0.002783,0.010954,0.000001
mpi,200,2,2,0.717441,0.004212,0.010954,0.000001
mpi,200,2,3,0.681969,0.005694,0.010954,0.000001
mpi,200,3,0,0.720754,0.005608,0.010963,0.000001
mpi,200,3,1,0.696637,0.002702,0.010963,0.000001
mpi,200,3,2,0.718250,0.004128,0.010963,0.000001
mpi,200,3,3,0.711033,0.005608,0.010963,0.000001
mpi,200,4,0,0.723167,0.005764,0.010885,0.000002
mpi,200,4,1,0.713267,0.002816,0.010885,0.000002
mpi,200,4,2,0.715410,0.004286,0.010885,0.000002
mpi,200,4,3,0.719306,0.005763,0.010885,0.000002
mpi,200,5,0,0.722511,0.005752,0.010995,0.000001
mpi,200,5,1,0.703316,0.002749,0.010995,0.000001
mpi,200,5,2,0.712575,0.004193,0.010995,0.000001
mpi,200,5,3,0.722550,0.005752,0.010995,0.000001
mpi,200,6,0,0.719046,0.005734,0.011120,0.000001
mpi,200,6,1,0.689393,0.002788,0.011113,0.000002
mpi,200,6,2,0.708533,0.004233,0.011120,0.000001
mpi,200,6,3,0.716580,0.005734,0.011120,0.000001
mpi,200,7,0,0.713238,0.005942,0.011140,0.000001
mpi,200,7,1,0.675477,0.002918,0.011128,0.000001
mpi,200,7,2,0.695239,0.004451,0.011135,0.000001
mpi,200,7,3,0.713098,0.005937,0.011128,0.000001
mpi,200,8,0,0.673189,0.006049,0.010918,0.000001
mpi,200,8,1,0.711273,0.002962,0.010918,0.000001
mpi,200,8,2,0.698150,0.004537,0.010918,0.000001
mpi,200,8,3,0.713528,0.006044,0.010918,0.000001
mpi,200,9,0,0.722601,0.005855,0.011080,0.000001
mpi,200,9,1,0.720210,0.002903,0.011080,0.000001
mpi,200,9,2,0.724486,0.004383,0.011080,0.000001
mpi,200,9,3,0.680999,0.005853,0.011080,0.000001
mpi,200,10,0,0.719276,0.005665,0.010947,0.000001
mpi,200,10,1,0.696203,0.002770,0.010947,0.000001
