mode,size_mb,run,ranks,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi,1,1,8,0.057459,0.012480,0.000519,0.098948,0.099469,0.000645,10.106326,1.189565,14.869563,0.001412
mpi,1,2,8,0.058994,0.017154,0.000597,0.105735,0.106333,0.000671,9.457633,1.113211,13.915133,0.001783
mpi,1,3,8,0.057362,0.013869,0.000543,0.100812,0.101358,0.000699,9.919434,1.167567,14.594587,0.001939
mpi,1,4,8,0.061684,0.015687,0.000519,0.107253,0.107774,0.000642,9.323750,1.097452,13.718149,0.001757
mpi,1,5,8,0.057223,0.017297,0.000524,0.105180,0.105707,0.000652,9.507490,1.119079,13.988489,0.002191
mpi,1,6,8,0.056959,0.012413,0.000516,0.098737,0.099255,0.000616,10.127907,1.192105,14.901317,0.001486
mpi,1,7,8,0.058941,0.013236,0.000515,0.102811,0.103328,0.000654,9.726585,1.144868,14.310847,0.001834
mpi,1,8,8,0.060279,0.013663,0.000530,0.103963,0.104494,0.000673,9.618765,1.132177,14.152209,0.001344
mpi,1,9,8,0.056926,0.014027,0.000519,0.100362,0.100882,0.000594,9.963964,1.172808,14.660105,0.001392
mpi,1,10,8,0.057743,0.013128,0.000537,0.100635,0.101174,0.000644,9.936919,1.169625,14.620313,0.001874
mpi,50,1,8,7.307131,2.497280,0.026199,12.492442,12.518643,0.030859,4.002420,1.382598,17.282479,0.000015
mpi,50,2,8,7.758504,2.433342,0.026183,12.956565,12.982750,0.032179,3.859048,1.333072,16.663395,0.000015
mpi,50,3,8,7.798623,2.520459,0.026278,13.111984,13.138263,0.033095,3.813305,1.317270,16.465880,0.000011
mpi,50,4,8,7.498735,2.663871,0.026877,12.827706,12.854584,0.032040,3.897813,1.346463,16.830786,0.000011
mpi,50,5,8,7.776960,2.469629,0.026771,13.038623,13.065395,0.037140,3.834761,1.324682,16.558525,0.000011
mpi,50,6,8,7.729276,2.476100,0.026301,12.927613,12.953916,0.033241,3.867690,1.336057,16.700714,0.000011
mpi,50,7,8,7.541576,2.446840,0.026379,12.694216,12.720598,0.031160,3.938802,1.360622,17.007774,0.000015
mpi,50,8,8,7.567902,2.580282,0.026180,12.843792,12.869973,0.030546,3.892931,1.344776,16.809706,0.000011
mpi,50,9,8,7.304538,2.407919,0.027063,12.380102,12.407167,0.031205,4.038739,1.395144,17.439305,0.000015
mpi,50,10,8,7.575773,2.414612,0.026802,12.638286,12.665089,0.031749,3.956233,1.366643,17.083042,0.000015
mpi,100,1,8,16.289569,4.885433,0.052386,26.896173,26.948560,0.072924,3.718001,1.308457,16.355708,0.000005
mpi,100,2,8,15.884209,4.977008,0.054493,26.387640,26.442134,0.061785,3.789653,1.333673,16.670909,0.000005
mpi,100,3,8,16.058317,5.035933,0.052368,26.603019,26.655390,0.061445,3.758972,1.322875,16.535941,0.000007
mpi,100,4,8,16.272136,4.995250,0.053585,26.762780,26.816367,0.061109,3.736533,1.314978,16.437229,0.000005
mpi,100,5,8,16.091362,4.946901,0.053483,26.638767,26.692251,0.061717,3.753928,1.321100,16.513751,0.000006
mpi,100,6,8,16.361691,4.914476,0.054218,26.826260,26.880480,0.061913,3.727691,1.311867,16.398333,0.000007
mpi,100,7,8,15.696172,4.840749,0.053030,26.081946,26.134978,0.062728,3.834070,1.349304,16.866301,0.000006
mpi,100,8,8,15.864019,4.838727,0.052215,26.204777,26.256993,0.061911,3.816098,1.342979,16.787242,0.000005
mpi,100,9,8,15.953842,4.851518,0.053570,26.319006,26.372577,0.060984,3.799536,1.337151,16.714383,0.000005
mpi,100,10,8,15.911310,4.843974,0.052407,26.290349,26.342758,0.062072,3.803677,1.338608,16.732602,0.000007
mpi,200,1,8,33.417073,10.081750,0.104583,54.941056,55.045640,0.124064,3.640265,1.353850,16.923130,0.000003
mpi,200,2,8,33.129974,10.039954,0.104826,54.754815,54.859643,0.124703,3.652647,1.358455,16.980692,0.000003
mpi,200,3,8,33.425366,10.050433,0.104783,54.979755,55.084539,0.122325,3.637703,1.352897,16.911219,0.000004
mpi,200,4,8,33.141001,10.039244,0.104916,54.596917,54.701835,0.122043,3.663211,1.362384,17.029801,0.000003
mpi,200,5,8,33.419268,10.054910,0.104653,54.969710,55.074364,0.124196,3.638367,1.353145,16.914309,0.000003
mpi,200,6,8,33.372761,10.077175,0.109065,54.946826,55.055892,0.121456,3.639883,1.353708,16.921353,0.000003
mpi,200,7,8,33.416137,10.081926,0.105385,54.984881,55.090268,0.121832,3.637363,1.352771,16.909642,0.000003
mpi,200,8,8,33.429915,10.042366,0.104519,54.938609,55.043129,0.122021,3.640427,1.353911,16.923884,0.000003
mpi,200,9,8,33.142733,10.066543,0.108384,54.674102,54.782488,0.123363,3.658039,1.360461,17.005760,0.000003
mpi,200,10,8,33.400966,10.063985,0.104572,54.994539,55.099112,0.122327,3.636725,1.352534,16.906672,0.000003
mpi,500,1,8,85.531799,26.632445,0.263488,141.907409,142.170899,0.298161,3.523424,1.428447,17.855587,0.000001
mpi,500,2,8,85.690641,25.814429,0.262415,141.914658,142.177075,0.304085,3.523244,1.428374,17.854675,0.000001
mpi,500,3,8,85.958026,25.327569,0.263870,141.419874,141.683746,0.311186,3.535571,1.433371,17.917143,0.000001
mpi,500,4,8,85.658025,25.288564,0.261388,140.684994,140.946384,0.309398,3.554039,1.440859,18.010735,0.000001
mpi,500,5,8,84.984235,25.275809,0.260980,139.906228,140.167210,0.298493,3.573822,1.448879,18.110989,0.000001
mpi,500,6,8,84.991723,25.290190,0.264873,140.077462,140.342337,0.314641,3.569454,1.447108,18.088850,0.000001
mpi,500,7,8,84.966043,25.315151,0.261046,139.975239,140.236287,0.300585,3.572060,1.448165,18.102060,0.000001
mpi,500,8,8,85.028813,25.380524,0.261818,140.046364,140.308184,0.302936,3.570246,1.447429,18.092866,0.000001
mpi,500,9,8,85.757422,26.870765,0.263135,142.379847,142.642983,0.306311,3.511733,1.423707,17.796340,0.000001
mpi,500,10,8,86.149286,26.640539,0.267591,143.102345,143.369938,0.303219,3.494003,1.416519,17.706489,0.000001
