mode,size_mb,run,rank,time_s
mpi,1,1,0,0.0338177
mpi,1,1,1,0.0375085
mpi,1,1,2,0.0376983
mpi,1,1,3,0.0352849
mpi,1,1,4,0.0380982
mpi,1,1,5,0.0379225
mpi,1,1,6,0.0376688
mpi,1,1,7,0.0379002
mpi,1,2,0,0.0299499
mpi,1,2,1,0.0291379
mpi,1,2,2,0.0295723
mpi,1,2,3,0.029666
mpi,1,2,4,0.0298134
mpi,1,2,5,0.0289149
mpi,1,2,6,0.0297904
mpi,1,2,7,0.0295908
mpi,1,3,0,0.029798
mpi,1,3,1,0.0298814
mpi,1,3,2,0.0299971
mpi,1,3,3,0.0296019
mpi,1,3,4,0.0301181
mpi,1,3,5,0.0295186
mpi,1,3,6,0.0300986
mpi,1,3,7,0.0295242
mpi,1,4,0,0.0301088
mpi,1,4,1,0.02982
mpi,1,4,2,0.0293208
mpi,1,4,3,0.0295832
mpi,1,4,4,0.0298057
mpi,1,4,5,0.0288091
mpi,1,4,6,0.0298947
mpi,1,4,7,0.0296359
mpi,1,5,0,0.031586
mpi,1,5,1,0.0307448
mpi,1,5,2,0.0317497
mpi,1,5,3,0.0316823
mpi,1,5,4,0.032078
mpi,1,5,5,0.0315175
mpi,1,5,6,0.0320589
mpi,1,5,7,0.0305706
mpi,1,6,0,0.0333934
mpi,1,6,1,0.0307075
mpi,1,6,2,0.0298409
mpi,1,6,3,0.0314865
mpi,1,6,4,0.0308353
mpi,1,6,5,0.0313841
mpi,1,6,6,0.0319644
mpi,1,6,7,0.0307269
mpi,1,7,0,0.0301022
mpi,1,7,1,0.0288353
mpi,1,7,2,0.0297102
mpi,1,7,3,0.0299615
mpi,1,7,4,0.0297873
mpi,1,7,5,0.028983
mpi,1,7,6,0.0297568
mpi,1,7,7,0.0294044
mpi,1,8,0,0.0321328
mpi,1,8,1,0.0319133
mpi,1,8,2,0.0318121
mpi,1,8,3,0.0317972
mpi,1,8,4,0.0316241
mpi,1,8,5,0.0304884
mpi,1,8,6,0.0318645
mpi,1,8,7,0.0310505
mpi,1,9,0,0.0316715
mpi,1,9,1,0.0314324
mpi,1,9,2,0.0316072
mpi,1,9,3,0.030536
mpi,1,9,4,0.0310296
mpi,1,9,5,0.0310988
mpi,1,9,6,0.0315026
mpi,1,9,7,0.0303749
mpi,1,10,0,0.0315984
mpi,1,10,1,0.0306063
mpi,1,10,2,0.0315698
mpi,1,10,3,0.0313093
mpi,1,10,4,0.0316327
mpi,1,10,5,0.0301975
mpi,1,10,6,0.0305296
mpi,1,10,7,0.0297898
mpi,50,1,0,2.67118
mpi,50,1,1,2.61209
mpi,50,1,2,2.53241
mpi,50,1,3,2.70076
mpi,50,1,4,2.69405
mpi,50,1,5,2.57662
mpi,50,1,6,2.68786
mpi,50,1,7,2.69659
mpi,50,2,0,2.64405
mpi,50,2,1,2.5381
mpi,50,2,2,2.6633
mpi,50,2,3,2.72392
mpi,50,2,4,2.72446
mpi,50,2,5,2.71122
mpi,50,2,6,2.71833
mpi,50,2,7,2.70423
mpi,50,3,0,2.669
mpi,50,3,1,2.63298
mpi,50,3,2,2.52993
mpi,50,3,3,2.65664
mpi,50,3,4,2.66372
mpi,50,3,5,2.62347
mpi,50,3,6,2.45932
mpi,50,3,7,2.67461
mpi,50,4,0,2.6339
mpi,50,4,1,2.61449
mpi,50,4,2,2.60849
mpi,50,4,3,2.65625
mpi,50,4,4,2.65542
mpi,50,4,5,2.59997
mpi,50,4,6,2.65484
mpi,50,4,7,2.51544
mpi,50,5,0,2.62572
mpi,50,5,1,2.65299
mpi,50,5,2,2.43751
mpi,50,5,3,2.65656
mpi,50,5,4,2.62538
mpi,50,5,5,2.56139
mpi,50,5,6,2.65192
mpi,50,5,7,2.62758
mpi,50,6,0,2.53185
mpi,50,6,1,2.63779
mpi,50,6,2,2.62809
mpi,50,6,3,2.65217
mpi,50,6,4,2.65614
mpi,50,6,5,2.63413
mpi,50,6,6,2.64446
mpi,50,6,7,2.48313
mpi,50,7,0,2.58946
mpi,50,7,1,2.52995
mpi,50,7,2,2.54532
mpi,50,7,3,2.60932
mpi,50,7,4,2.60304
mpi,50,7,5,2.24764
mpi,50,7,6,2.60199
mpi,50,7,7,2.46925
mpi,50,8,0,2.62622
mpi,50,8,1,2.57882
mpi,50,8,2,2.60565
mpi,50,8,3,2.58688
mpi,50,8,4,2.6419
mpi,50,8,5,2.26631
mpi,50,8,6,2.63474
mpi,50,8,7,2.61959
mpi,50,9,0,2.58364
mpi,50,9,1,2.42537
mpi,50,9,2,2.35602
mpi,50,9,3,2.61705
mpi,50,9,4,2.60915
mpi,50,9,5,2.54497
mpi,50,9,6,2.59366
mpi,50,9,7,2.61785
mpi,50,10,0,2.60947
mpi,50,10,1,2.25948
mpi,50,10,2,2.57974
mpi,50,10,3,2.6334
mpi,50,10,4,2.62701
mpi,50,10,5,2.59307
mpi,50,10,6,2.62054
mpi,50,10,7,2.57842
mpi,100,1,0,5.48021
mpi,100,1,1,5.42199
mpi,100,1,2,5.49405
mpi,100,1,3,5.45738
mpi,100,1,4,5.28364
mpi,100,1,5,5.4368
mpi,100,1,6,5.12364
mpi,100,1,7,5.42651
mpi,100,2,0,5.47375
mpi,100,2,1,5.25408
mpi,100,2,2,5.48791
mpi,100,2,3,5.46782
mpi,100,2,4,5.36404
mpi,100,2,5,5.45497
mpi,100,2,6,5.2023
mpi,100,2,7,5.33476
mpi,100,3,0,5.42405
mpi,100,3,1,5.16294
mpi,100,3,2,5.46161
mpi,100,3,3,5.47508
