mode,size_mb,rank,avg_time_s
mpi,1,0,0.027876
mpi,1,1,0.027577
mpi,1,2,0.027573
mpi,1,3,0.028108
mpi,1,4,0.027486
mpi,1,5,0.027990
mpi,1,6,0.027990
mpi,1,7,0.027740
mpi,5,0,0.181408
mpi,5,1,0.165883
mpi,5,2,0.172439
mpi,5,3,0.182645
mpi,5,4,0.181095
mpi,5,5,0.179332
mpi,5,6,0.179334
mpi,5,7,0.182416
mpi,10,0,0.416088
mpi,10,1,0.379128
mpi,10,2,0.396270
mpi,10,3,0.393686
mpi,10,4,0.405270
mpi,10,5,0.418521
mpi,10,6,0.417464
mpi,10,7,0.415374
mpi,50,0,2.503064
mpi,50,1,2.549639
mpi,50,2,2.321700
mpi,50,3,2.459157
mpi,50,4,2.368123
mpi,50,5,2.456069
mpi,50,6,2.551383
mpi,50,7,2.487329
mpi,100,0,5.392503
mpi,100,1,4.996809
mpi,100,2,5.383280
mpi,100,3,5.330406
mpi,100,4,5.339768
mpi,100,5,5.245552
mpi,100,6,5.414630
mpi,100,7,5.374620
mpi,500,0,29.110490
mpi,500,1,28.224120
mpi,500,2,27.545040
mpi,500,3,29.009080
mpi,500,4,28.891300
mpi,500,5,29.311390
mpi,500,6,28.454040
mpi,500,7,29.205790
