mode,size_mb,run,rank,threads,time_sa_local_s,time_comm_s,time_io_s,time_alloc_s
mpi+omp,1,1,0,4,0.058277,0.000478,0.002313,0.000001
mpi+omp,1,1,1,4,0.059011,0.000222,0.002313,0.000001
mpi+omp,1,1,2,4,0.058334,0.000344,0.002313,0.000001
mpi+omp,1,1,3,4,0.059026,0.000476,0.002313,0.000001
mpi+omp,1,2,0,4,0.058732,0.000486,0.002284,0.000001
mpi+omp,1,2,1,4,0.059087,0.000218,0.002284,0.000001
mpi+omp,1,2,2,4,0.059214,0.000349,0.002284,0.000001
mpi+omp,1,2,3,4,0.058741,0.000486,0.002284,0.000001
mpi+omp,1,3,0,4,0.058174,0.000478,0.002257,0.000001
mpi+omp,1,3,1,4,0.058316,0.000221,0.002257,0.000001
mpi+omp,1,3,2,4,0.058291,0.000345,0.002257,0.000001
mpi+omp,1,3,3,4,0.061031,0.000478,0.002257,0.000001
mpi+omp,1,4,0,4,0.058540,0.000481,0.002308,0.000001
mpi+omp,1,4,1,4,0.058438,0.000213,0.002308,0.000001
mpi+omp,1,4,2,4,0.059167,0.000345,0.002308,0.000001
mpi+omp,1,4,3,4,0.059202,0.000481,0.002308,0.000001
mpi+omp,1,5,0,4,0.058602,0.000526,0.002306,0.000001
mpi+omp,1,5,1,4,0.059185,0.000264,0.002306,0.000001
mpi+omp,1,5,2,4,0.058849,0.000390,0.002306,0.000001
mpi+omp,1,5,3,4,0.059202,0.000523,0.002306,0.000001
mpi+omp,1,6,0,4,0.058265,0.000549,0.002263,0.000001
mpi+omp,1,6,1,4,0.058842,0.000248,0.002263,0.000001
mpi+omp,1,6,2,4,0.059108,0.000387,0.002263,0.000001
mpi+omp,1,6,3,4,0.059108,0.000549,0.002263,0.000001
mpi+omp,1,7,0,4,0.058607,0.000479,0.002296,0.000001
mpi+omp,1,7,1,4,0.059121,0.000226,0.002292,0.000001
mpi+omp,1,7,2,4,0.058964,0.000347,0.002292,0.000001
mpi+omp,1,7,3,4,0.058964,0.000478,0.002292,0.000001
mpi+omp,1,8,0,4,0.058744,0.000480,0.002339,0.000001
mpi+omp,1,8,1,4,0.059213,0.000223,0.002339,0.000001
mpi+omp,1,8,2,4,0.058711,0.000336,0.002339,0.000001
mpi+omp,1,8,3,4,0.059153,0.000480,0.002339,0.000001
mpi+omp,1,9,0,4,0.058404,0.000551,0.002288,0.000001
mpi+omp,1,9,1,4,0.058539,0.000259,0.002288,0.000001
mpi+omp,1,9,2,4,0.059052,0.000398,0.002288,0.000001
mpi+omp,1,9,3,4,0.058630,0.000551,0.002288,0.000001
mpi+omp,1,10,0,4,0.058884,0.000457,0.002303,0.000001
mpi+omp,1,10,1,4,0.059165,0.000208,0.002303,0.000001
mpi+omp,1,10,2,4,0.059196,0.000323,0.002303,0.000001
mpi+omp,1,10,3,4,0.058889,0.000457,0.002303,0.000001
mpi+omp,50,1,0,4,4.346283,0.027452,0.047260,0.000001
mpi+omp,50,1,1,4,4.305840,0.011199,0.047262,0.000001
mpi+omp,50,1,2,4,4.364887,0.019380,0.047259,0.000001
mpi+omp,50,1,3,4,4.222700,0.027449,0.047262,0.000001
mpi+omp,50,2,0,4,4.386960,0.027750,0.047437,0.000001
mpi+omp,50,2,1,4,4.258109,0.011252,0.047437,0.000001
mpi+omp,50,2,2,4,4.379210,0.019456,0.047437,0.000001
mpi+omp,50,2,3,4,4.332954,0.027741,0.047439,0.000001
mpi+omp,50,3,0,4,4.355609,0.027431,0.046642,0.000001
mpi+omp,50,3,1,4,4.313669,0.011148,0.046642,0.000001
mpi+omp,50,3,2,4,4.365350,0.019279,0.046642,0.000001
mpi+omp,50,3,3,4,4.199602,0.027428,0.046642,0.000001
mpi+omp,50,4,0,4,4.350551,0.027842,0.047063,0.000001
mpi+omp,50,4,1,4,4.300288,0.011238,0.047063,0.000001
mpi+omp,50,4,2,4,4.360373,0.019552,0.047063,0.000001
mpi+omp,50,4,3,4,4.171125,0.027839,0.047063,0.000001
mpi+omp,50,5,0,4,4.341774,0.027558,0.047036,0.000001
mpi+omp,50,5,1,4,4.286590,0.011267,0.047036,0.000001
mpi+omp,50,5,2,4,4.349056,0.019340,0.047036,0.000001
mpi+omp,50,5,3,4,4.151979,0.027554,0.047036,0.000001
mpi+omp,50,6,0,4,4.350488,0.027718,0.047261,0.000001
mpi+omp,50,6,1,4,4.316354,0.011308,0.047261,0.000001
mpi+omp,50,6,2,4,4.370573,0.019551,0.047261,0.000001
mpi+omp,50,6,3,4,4.223364,0.027713,0.047261,0.000001
mpi+omp,50,7,0,4,4.376122,0.029041,0.046954,0.000001
mpi+omp,50,7,1,4,4.322085,0.011321,0.046954,0.000001
mpi+omp,50,7,2,4,4.373862,0.020548,0.046954,0.000001
mpi+omp,50,7,3,4,4.217104,0.029038,0.046954,0.000001
mpi+omp,50,8,0,4,4.334076,0.027600,0.047014,0.000001
mpi+omp,50,8,1,4,4.310980,0.011195,0.047014,0.000001
mpi+omp,50,8,2,4,4.348133,0.019411,0.047014,0.000001
mpi+omp,50,8,3,4,4.108569,0.027598,0.047014,0.000001
mpi+omp,50,9,0,4,4.342144,0.027623,0.047536,0.000001
mpi+omp,50,9,1,4,4.321359,0.011246,0.047536,0.000001
mpi+omp,50,9,2,4,4.359117,0.019484,0.047536,0.000001
mpi+omp,50,9,3,4,4.160636,0.027622,0.047536,0.000001
mpi+omp,50,10,0,4,4.342369,0.027648,0.046515,0.000001
mpi+omp,50,10,1,4,4.312239,0.011443,0.046515,0.000001
mpi+omp,50,10,2,4,4.363396,0.019544,0.046515,0.000001
