mode,size_mb,run,ranks,threads_per_rank,time_io_max_s,time_alloc_max_s,time_sa_max_s,time_merge_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
mpi+omp,1,1,8,2,0.002178,0.000001,0.000819,0.002529,0.000577,0.000047,0.003925,0.003974,0.000044,12.130882,1.474745,18.434310,0.035576
mpi+omp,1,2,8,2,0.002228,0.000001,0.001817,0.002326,0.000597,0.000048,0.004740,0.004789,0.000042,10.046359,1.221330,15.266630,0.030919
mpi+omp,1,3,8,2,0.002179,0.000002,0.000859,0.002334,0.000571,0.000047,0.003764,0.003813,0.000044,12.649880,1.537839,19.222989,0.050076
mpi+omp,1,4,8,2,0.002512,0.000001,0.000822,0.002325,0.000591,0.000047,0.003738,0.003787,0.000043,12.738516,1.548615,19.357682,0.039228
mpi+omp,1,5,8,2,0.002709,0.000002,0.003770,0.002322,0.000542,0.000026,0.006634,0.006663,0.000046,7.177543,0.872570,10.907126,0.028419
mpi+omp,1,6,8,2,0.002213,0.000001,0.000822,0.002311,0.000591,0.000055,0.003724,0.003780,0.000043,12.787011,1.554510,19.431375,0.037499
mpi+omp,1,7,8,2,0.003189,0.000002,0.002664,0.002661,0.000718,0.000048,0.006042,0.006092,0.000054,7.881449,0.958144,11.976795,0.032363
mpi+omp,1,8,8,2,0.002288,0.000001,0.000829,0.002335,0.000636,0.000047,0.003800,0.003849,0.000044,12.530855,1.523369,19.042117,0.036748
mpi+omp,1,9,8,2,0.002103,0.000001,0.000841,0.002399,0.000607,0.000048,0.003846,0.003895,0.000043,12.380225,1.505057,18.813217,0.038125
mpi+omp,1,10,8,2,0.002709,0.000001,0.000819,0.002300,0.000600,0.000047,0.003718,0.003767,0.000043,12.805982,1.556816,19.460205,0.039436
mpi+omp,50,1,8,2,0.004449,0.000002,0.083474,0.139474,0.055431,0.001270,0.278380,0.279652,0.001649,8.552887,1.401757,17.521964,0.000677
