mode,size_mb,run,rank,time_s
mpi+omp,1,1,0,0.0599409
mpi+omp,1,1,1,0.0606135
mpi+omp,1,1,2,0.05943
mpi+omp,1,1,3,0.060568
mpi+omp,1,2,0,0.0598886
mpi+omp,1,2,1,0.059965
mpi+omp,1,2,2,0.0603448
mpi+omp,1,2,3,0.0605222
mpi+omp,1,3,0,0.0595603
mpi+omp,1,3,1,0.060551
mpi+omp,1,3,2,0.0601901
mpi+omp,1,3,3,0.0602801
mpi+omp,1,4,0,0.0603313
mpi+omp,1,4,1,0.0609946
mpi+omp,1,4,2,0.0604354
mpi+omp,1,4,3,0.0603538
mpi+omp,1,5,0,0.059868
mpi+omp,1,5,1,0.0601294
mpi+omp,1,5,2,0.0604119
mpi+omp,1,5,3,0.060283
mpi+omp,1,6,0,0.0605677
mpi+omp,1,6,1,0.0600065
mpi+omp,1,6,2,0.0604735
mpi+omp,1,6,3,0.0603218
mpi+omp,1,7,0,0.0609776
mpi+omp,1,7,1,0.061397
mpi+omp,1,7,2,0.0608955
mpi+omp,1,7,3,0.0608955
mpi+omp,1,8,0,0.0602477
mpi+omp,1,8,1,0.0603788
mpi+omp,1,8,2,0.0605065
mpi+omp,1,8,3,0.0601387
mpi+omp,1,9,0,0.059912
mpi+omp,1,9,1,0.0605496
mpi+omp,1,9,2,0.0601358
mpi+omp,1,9,3,0.0605699
mpi+omp,1,10,0,0.0602251
mpi+omp,1,10,1,0.0604967
mpi+omp,1,10,2,0.060477
mpi+omp,1,10,3,0.0606502
mpi+omp,50,1,0,4.41756
mpi+omp,50,1,1,4.36061
mpi+omp,50,1,2,4.38846
mpi+omp,50,1,3,4.23832
mpi+omp,50,2,0,4.40299
mpi+omp,50,2,1,4.34301
mpi+omp,50,2,2,4.39076
mpi+omp,50,2,3,4.20866
mpi+omp,50,3,0,4.3985
mpi+omp,50,3,1,4.36647
mpi+omp,50,3,2,4.33752
mpi+omp,50,3,3,4.15925
mpi+omp,50,4,0,4.38985
mpi+omp,50,4,1,4.40289
mpi+omp,50,4,2,4.34638
mpi+omp,50,4,3,4.18724
mpi+omp,50,5,0,4.42273
mpi+omp,50,5,1,4.35549
mpi+omp,50,5,2,4.40155
mpi+omp,50,5,3,4.27987
mpi+omp,50,6,0,4.42305
mpi+omp,50,6,1,4.37645
mpi+omp,50,6,2,4.40757
mpi+omp,50,6,3,4.26709
mpi+omp,50,7,0,4.43282
mpi+omp,50,7,1,4.38381
mpi+omp,50,7,2,4.40733
mpi+omp,50,7,3,4.26795
mpi+omp,50,8,0,4.41865
mpi+omp,50,8,1,4.37746
mpi+omp,50,8,2,4.39935
mpi+omp,50,8,3,4.23257
mpi+omp,50,9,0,4.41931
mpi+omp,50,9,1,4.34814
mpi+omp,50,9,2,4.40248
mpi+omp,50,9,3,4.25888
mpi+omp,50,10,0,4.4382
mpi+omp,50,10,1,4.42715
mpi+omp,50,10,2,4.38082
mpi+omp,50,10,3,4.29248
mpi+omp,100,1,0,9.09188
mpi+omp,100,1,1,9.10674
mpi+omp,100,1,2,8.69927
mpi+omp,100,1,3,8.93354
mpi+omp,100,2,0,9.11091
mpi+omp,100,2,1,9.10897
mpi+omp,100,2,2,8.68412
mpi+omp,100,2,3,8.95129
mpi+omp,100,3,0,9.12055
mpi+omp,100,3,1,9.11236
mpi+omp,100,3,2,8.731
mpi+omp,100,3,3,8.96101
mpi+omp,100,4,0,9.11368
mpi+omp,100,4,1,9.11306
mpi+omp,100,4,2,8.7514
mpi+omp,100,4,3,8.94783
mpi+omp,100,5,0,9.1175
mpi+omp,100,5,1,9.12514
mpi+omp,100,5,2,8.74944
mpi+omp,100,5,3,8.94515
mpi+omp,100,6,0,9.11469
mpi+omp,100,6,1,9.1253
mpi+omp,100,6,2,8.7439
mpi+omp,100,6,3,8.93764
mpi+omp,100,7,0,9.09281
mpi+omp,100,7,1,9.12025
mpi+omp,100,7,2,8.73859
mpi+omp,100,7,3,8.93504
mpi+omp,100,8,0,9.12146
mpi+omp,100,8,1,9.13172
mpi+omp,100,8,2,8.80121
mpi+omp,100,8,3,8.94572
mpi+omp,100,9,0,9.12886
mpi+omp,100,9,1,9.13149
mpi+omp,100,9,2,8.73188
mpi+omp,100,9,3,8.9926
mpi+omp,100,10,0,9.11864
mpi+omp,100,10,1,9.11697
mpi+omp,100,10,2,8.71989
mpi+omp,100,10,3,8.96011
mpi+omp,200,1,0,18.8686
mpi+omp,200,1,1,18.3616
mpi+omp,200,1,2,18.781
mpi+omp,200,1,3,18.8127
mpi+omp,200,2,0,18.8694
mpi+omp,200,2,1,18.3459
mpi+omp,200,2,2,18.7982
mpi+omp,200,2,3,18.7804
mpi+omp,200,3,0,18.8128
mpi+omp,200,3,1,18.3964
mpi+omp,200,3,2,18.6443
mpi+omp,200,3,3,18.8784
mpi+omp,200,4,0,18.8561
mpi+omp,200,4,1,18.4
mpi+omp,200,4,2,18.5913
mpi+omp,200,4,3,18.8387
mpi+omp,200,5,0,18.8464
mpi+omp,200,5,1,18.3435
mpi+omp,200,5,2,18.7897
mpi+omp,200,5,3,18.6869
mpi+omp,200,6,0,18.9122
mpi+omp,200,6,1,18.3115
mpi+omp,200,6,2,18.9149
mpi+omp,200,6,3,18.9116
mpi+omp,200,7,0,18.8896
mpi+omp,200,7,1,18.3774
mpi+omp,200,7,2,18.8706
mpi+omp,200,7,3,18.8023
