mode,size_mb,run,rank,time_s
mpi,1,1,0,0.0684536
mpi,1,1,1,0.0435318
mpi,1,1,2,0.0684615
mpi,1,1,3,0.0685069
mpi,1,1,4,0.056861
mpi,1,1,5,0.0681299
mpi,1,1,6,0.0650418
mpi,1,1,7,0.0681405
mpi,1,2,0,0.0575477
mpi,1,2,1,0.0572087
mpi,1,2,2,0.0670955
mpi,1,2,3,0.0671829
mpi,1,2,4,0.0581488
mpi,1,2,5,0.0653345
mpi,1,2,6,0.0668839
mpi,1,2,7,0.0616606
mpi,1,3,0,0.0719627
mpi,1,3,1,0.0599822
mpi,1,3,2,0.0717098
mpi,1,3,3,0.0719572
mpi,1,3,4,0.0719146
mpi,1,3,5,0.0673793
mpi,1,3,6,0.069184
mpi,1,3,7,0.0606874
mpi,1,4,0,0.0494989
mpi,1,4,1,0.0408512
mpi,1,4,2,0.0457415
mpi,1,4,3,0.0492987
mpi,1,4,4,0.0473229
mpi,1,4,5,0.0508408
mpi,1,4,6,0.0510204
mpi,1,4,7,0.051019
mpi,1,5,0,0.0684909
mpi,1,5,1,0.0541574
mpi,1,5,2,0.068485
mpi,1,5,3,0.0684986
mpi,1,5,4,0.0679093
mpi,1,5,5,0.0574574
mpi,1,5,6,0.0624418
mpi,1,5,7,0.0653427
mpi,1,6,0,0.0694433
mpi,1,6,1,0.0461236
mpi,1,6,2,0.0695406
mpi,1,6,3,0.0694639
mpi,1,6,4,0.0694357
mpi,1,6,5,0.0642701
mpi,1,6,6,0.0694391
mpi,1,6,7,0.0612241
mpi,1,7,0,0.0689461
mpi,1,7,1,0.0579292
mpi,1,7,2,0.0687972
mpi,1,7,3,0.0686757
mpi,1,7,4,0.0683679
mpi,1,7,5,0.0655387
mpi,1,7,6,0.0639679
mpi,1,7,7,0.0591346
mpi,1,8,0,0.047655
mpi,1,8,1,0.0394751
mpi,1,8,2,0.0479059
mpi,1,8,3,0.0461833
mpi,1,8,4,0.0493044
mpi,1,8,5,0.0489256
mpi,1,8,6,0.0425964
mpi,1,8,7,0.0489289
mpi,1,9,0,0.0720517
mpi,1,9,1,0.0577547
mpi,1,9,2,0.0708434
mpi,1,9,3,0.0719983
mpi,1,9,4,0.0716963
mpi,1,9,5,0.0665947
mpi,1,9,6,0.0720038
mpi,1,9,7,0.0610136
mpi,1,10,0,0.0567892
mpi,1,10,1,0.0484532
mpi,1,10,2,0.0588201
mpi,1,10,3,0.059641
mpi,1,10,4,0.0463329
mpi,1,10,5,0.04609
mpi,1,10,6,0.0450106
mpi,1,10,7,0.0427265
mpi,5,1,0,0.383478
mpi,5,1,1,0.387996
mpi,5,1,2,0.342773
mpi,5,1,3,0.356887
mpi,5,1,4,0.35348
mpi,5,1,5,0.38376
mpi,5,1,6,0.336685
mpi,5,1,7,0.386588
mpi,5,2,0,0.366944
mpi,5,2,1,0.381296
mpi,5,2,2,0.335485
mpi,5,2,3,0.374564
mpi,5,2,4,0.367006
mpi,5,2,5,0.350402
mpi,5,2,6,0.334418
mpi,5,2,7,0.38347
mpi,5,3,0,0.382303
mpi,5,3,1,0.390937
mpi,5,3,2,0.339783
mpi,5,3,3,0.384279
mpi,5,3,4,0.364957
mpi,5,3,5,0.378788
mpi,5,3,6,0.346052
mpi,5,3,7,0.32949
mpi,5,4,0,0.393113
mpi,5,4,1,0.388115
mpi,5,4,2,0.338448
mpi,5,4,3,0.366239
mpi,5,4,4,0.357202
mpi,5,4,5,0.381582
mpi,5,4,6,0.389647
mpi,5,4,7,0.393426
mpi,5,5,0,0.371612
mpi,5,5,1,0.332493
mpi,5,5,2,0.37413
mpi,5,5,3,0.381766
mpi,5,5,4,0.327765
mpi,5,5,5,0.348177
mpi,5,5,6,0.381306
mpi,5,5,7,0.360031
mpi,5,6,0,0.321801
mpi,5,6,1,0.321877
mpi,5,6,2,0.312846
mpi,5,6,3,0.293743
mpi,5,6,4,0.319519
mpi,5,6,5,0.315159
mpi,5,6,6,0.293878
mpi,5,6,7,0.293272
mpi,5,7,0,0.385895
mpi,5,7,1,0.384793
mpi,5,7,2,0.386827
mpi,5,7,3,0.384075
mpi,5,7,4,0.371368
mpi,5,7,5,0.338523
mpi,5,7,6,0.347091
mpi,5,7,7,0.338843
mpi,5,8,0,0.331211
mpi,5,8,1,0.37366
