mode,size_mb,run,rank,time_s
mpi,1,1,0,0.0717112
mpi,1,1,1,0.0701461
mpi,1,1,2,0.0716638
mpi,1,1,3,0.069327
mpi,1,2,0,0.0705131
mpi,1,2,1,0.0724377
mpi,1,2,2,0.0727684
mpi,1,2,3,0.0716478
mpi,1,3,0,0.0722911
mpi,1,3,1,0.0685555
mpi,1,3,2,0.0723507
mpi,1,3,3,0.0712344
mpi,1,4,0,0.0662644
mpi,1,4,1,0.0703443
mpi,1,4,2,0.070973
mpi,1,4,3,0.0702314
mpi,1,5,0,0.0727414
mpi,1,5,1,0.0711414
mpi,1,5,2,0.0727167
mpi,1,5,3,0.0712677
mpi,1,6,0,0.0702588
mpi,1,6,1,0.0695961
mpi,1,6,2,0.064648
mpi,1,6,3,0.0695548
mpi,1,7,0,0.0691216
mpi,1,7,1,0.0645718
mpi,1,7,2,0.0696203
mpi,1,7,3,0.0679951
mpi,1,8,0,0.071546
mpi,1,8,1,0.0706921
mpi,1,8,2,0.0718583
mpi,1,8,3,0.0678736
mpi,1,9,0,0.0719865
mpi,1,9,1,0.0717568
mpi,1,9,2,0.0700562
mpi,1,9,3,0.0707395
mpi,1,10,0,0.0717053
mpi,1,10,1,0.0706127
mpi,1,10,2,0.0717492
mpi,1,10,3,0.0679147
mpi,5,1,0,0.417417
mpi,5,1,1,0.394602
mpi,5,1,2,0.385404
mpi,5,1,3,0.414014
mpi,5,2,0,0.439133
mpi,5,2,1,0.4279
mpi,5,2,2,0.439308
mpi,5,2,3,0.41736
mpi,5,3,0,0.433758
mpi,5,3,1,0.415169
mpi,5,3,2,0.444741
mpi,5,3,3,0.442038
mpi,5,4,0,0.388961
mpi,5,4,1,0.425599
mpi,5,4,2,0.428799
mpi,5,4,3,0.424876
mpi,5,5,0,0.455631
mpi,5,5,1,0.449111
mpi,5,5,2,0.41459
mpi,5,5,3,0.443204
mpi,5,6,0,0.382851
mpi,5,6,1,0.42267
mpi,5,6,2,0.425518
mpi,5,6,3,0.426938
mpi,5,7,0,0.429353
mpi,5,7,1,0.402908
mpi,5,7,2,0.425022
mpi,5,7,3,0.401713
mpi,5,8,0,0.422343
mpi,5,8,1,0.430241
mpi,5,8,2,0.439048
mpi,5,8,3,0.435279
mpi,5,9,0,0.4346
mpi,5,9,1,0.412397
mpi,5,9,2,0.423411
mpi,5,9,3,0.432821
mpi,5,10,0,0.421883
mpi,5,10,1,0.384858
mpi,5,10,2,0.418343
mpi,5,10,3,0.404993
mpi,10,1,0,0.857649
mpi,10,1,1,0.858361
mpi,10,1,2,0.84045
mpi,10,1,3,0.852512
mpi,10,2,0,0.900014
mpi,10,2,1,0.850184
mpi,10,2,2,0.884393
mpi,10,2,3,0.907005
mpi,10,3,0,0.827248
mpi,10,3,1,0.809209
mpi,10,3,2,0.814646
mpi,10,3,3,0.826115
mpi,10,4,0,0.908253
mpi,10,4,1,0.90533
mpi,10,4,2,0.899365
mpi,10,4,3,0.850067
mpi,10,5,0,0.899825
mpi,10,5,1,0.892542
mpi,10,5,2,0.882747
mpi,10,5,3,0.841389
mpi,10,6,0,0.89329
mpi,10,6,1,0.900554
mpi,10,6,2,0.842536
mpi,10,6,3,0.877866
mpi,10,7,0,0.900467
mpi,10,7,1,0.88257
mpi,10,7,2,0.81548
mpi,10,7,3,0.902962
mpi,10,8,0,0.903997
mpi,10,8,1,0.889502
mpi,10,8,2,0.899365
mpi,10,8,3,0.855354
mpi,10,9,0,0.896334
mpi,10,9,1,0.889666
mpi,10,9,2,0.823596
mpi,10,9,3,0.875863
mpi,10,10,0,0.927357
mpi,10,10,1,0.91084
mpi,10,10,2,0.911334
mpi,10,10,3,0.899754
mpi,50,1,0,5.99428
mpi,50,1,1,4.54098
mpi,50,1,2,4.88399
mpi,50,1,3,4.92576
mpi,50,2,0,6.01693
mpi,50,2,1,4.63861
mpi,50,2,2,4.96355
mpi,50,2,3,4.77884
mpi,50,3,0,5.95028
mpi,50,3,1,4.65148
mpi,50,3,2,4.94461
mpi,50,3,3,4.90878
mpi,50,4,0,6.00857
mpi,50,4,1,4.62263
mpi,50,4,2,4.90536
mpi,50,4,3,4.83987
mpi,50,5,0,5.96318
mpi,50,5,1,4.61315
mpi,50,5,2,4.91591
mpi,50,5,3,4.81025
mpi,50,6,0,5.97873
mpi,50,6,1,4.67364
mpi,50,6,2,4.93865
mpi,50,6,3,4.87799
mpi,50,7,0,5.97166
mpi,50,7,1,4.68818
mpi,50,7,2,4.93985
mpi,50,7,3,4.85312
mpi,50,8,0,5.96882
mpi,50,8,1,4.60998
mpi,50,8,2,4.88164
mpi,50,8,3,4.81361
mpi,50,9,0,5.99327
mpi,50,9,1,4.63677
mpi,50,9,2,4.90493
mpi,50,9,3,4.84877
mpi,50,10,0,6.03498
mpi,50,10,1,4.88931
mpi,50,10,2,5.02071
mpi,50,10,3,4.72306
mpi,100,1,0,12.8505
mpi,100,1,1,12.5651
mpi,100,1,2,12.8118
mpi,100,1,3,11.9788
mpi,100,2,0,12.8071
mpi,100,2,1,12.7044
mpi,100,2,2,12.9016
mpi,100,2,3,12.1024
mpi,100,3,0,12.6695
mpi,100,3,1,12.8971
mpi,100,3,2,12.9321
mpi,100,3,3,12.2872
mpi,100,4,0,12.5189
mpi,100,4,1,12.7787
mpi,100,4,2,12.8112
mpi,100,4,3,12.0164
mpi,100,5,0,12.5117
mpi,100,5,1,12.7922
mpi,100,5,2,12.7429
mpi,100,5,3,12.0637
mpi,100,6,0,12.5885
mpi,100,6,1,12.6999
mpi,100,6,2,12.7949
mpi,100,6,3,11.8545
mpi,100,7,0,12.5729
mpi,100,7,1,12.7999
mpi,100,7,2,12.8304
mpi,100,7,3,12.1379
mpi,100,8,0,12.9222
mpi,100,8,1,13.018
