mode,size_mb,rank,avg_time_s
mpi,1,0,0.063084
mpi,1,1,0.050547
mpi,1,2,0.063740
mpi,1,3,0.064141
mpi,1,4,0.060729
mpi,1,5,0.060056
mpi,1,6,0.060759
mpi,1,7,0.057988
mpi,5,0,0.362274
mpi,5,1,0.367843
mpi,5,2,0.351036
mpi,5,3,0.364396
mpi,5,4,0.352608
mpi,5,5,0.357185
mpi,5,6,0.343840
mpi,5,7,0.356901
mpi,10,0,0.764792
mpi,10,1,0.784085
mpi,10,2,0.757004
mpi,10,3,0.768213
mpi,10,4,0.797539
mpi,10,5,0.778820
mpi,10,6,0.774195
mpi,10,7,0.737581
mpi,50,0,4.206811
mpi,50,1,4.341104
mpi,50,2,4.413341
mpi,50,3,4.361665
mpi,50,4,4.105157
mpi,50,5,4.198463
mpi,50,6,4.106308
mpi,50,7,4.332448
mpi,100,0,8.772713
mpi,100,1,8.811458
mpi,100,2,8.915574
mpi,100,3,8.831587
mpi,100,4,8.657768
mpi,100,5,8.862004
mpi,100,6,8.971533
mpi,100,7,8.619624
