threads,size,run,time_compute_pure_s,speedup,efficiency_pct
4,1MB,1,0.096154,1.224130,30.603250
4,1MB,2,0.095444,1.233232,30.830794
4,1MB,3,0.095731,1.229535,30.738371
4,1MB,4,0.095211,1.236248,30.906194
4,1MB,5,0.095877,1.227663,30.691574
4,1MB,6,0.095500,1.232511,30.812779
4,1MB,7,0.098215,1.198443,29.961071
4,1MB,8,0.097334,1.209295,30.232381
4,1MB,9,0.094857,1.240868,31.021701
4,1MB,10,0.096971,1.213820,30.345499
4,50MB,1,15.752477,1.096464,27.411607
4,50MB,2,15.770647,1.095201,27.380026
4,50MB,3,15.819619,1.091811,27.295267
4,50MB,4,15.805499,1.092786,27.319651
4,50MB,5,15.811353,1.092381,27.309537
4,50MB,6,15.771092,1.095170,27.379253
4,50MB,7,15.793505,1.093616,27.340399
4,50MB,8,15.796821,1.093386,27.334659
4,50MB,9,15.766065,1.095519,27.387984
4,50MB,10,15.702486,1.099955,27.498877
4,100MB,1,33.223973,1.059249,26.481237
4,100MB,2,33.108595,1.062941,26.573520
4,100MB,3,33.277460,1.057547,26.438673
4,100MB,4,33.176109,1.060778,26.519442
4,100MB,5,33.057249,1.064592,26.614795
4,100MB,6,33.171841,1.060914,26.522854
4,100MB,7,33.171238,1.060933,26.523336
4,100MB,8,33.443179,1.052307,26.307664
4,100MB,9,33.283498,1.057355,26.433877
4,100MB,10,33.291717,1.057094,26.427351
4,200MB,1,70.471946,1.055483,26.387086
4,200MB,2,70.340850,1.057451,26.436264
4,200MB,3,71.870347,1.034947,25.873665
4,200MB,4,70.322982,1.057719,26.442981
4,200MB,5,71.140928,1.045558,26.138952
4,200MB,6,71.031452,1.047170,26.179238
4,200MB,7,70.804597,1.050525,26.263115
4,200MB,8,70.506055,1.054973,26.374320
4,200MB,9,70.674457,1.052459,26.311476
4,200MB,10,70.600588,1.053560,26.339006
4,500MB,1,194.443805,1.042498,26.062442
4,500MB,2,194.919087,1.039956,25.998892
4,500MB,3,192.440400,1.053351,26.333765
4,500MB,4,192.777035,1.051511,26.287780
4,500MB,5,193.929521,1.045262,26.131557
4,500MB,6,195.377368,1.037516,25.937908
4,500MB,7,194.474550,1.042333,26.058321
4,500MB,8,193.549273,1.047316,26.182895
4,500MB,9,192.495976,1.053046,26.326162
4,500MB,10,193.821053,1.045847,26.146181
