threads,size,run,time_io_s,time_alloc_s,time_sa_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
8,1MB,1,0.000057,0.000709,0.005240,0.000492,0.000014,0.005733,0.006455,0.000000,8.306724,1.009844,12.623049,11.005101
8,1MB,2,0.000057,0.000640,0.005174,0.000472,0.000014,0.005646,0.006300,0.000000,8.434035,1.025321,12.816514,10.184641
8,1MB,3,0.000049,0.000626,0.005179,0.000505,0.000014,0.005684,0.006324,0.000000,8.377350,1.018430,12.730374,9.927178
8,1MB,4,0.000061,0.000670,0.005212,0.000467,0.000014,0.005679,0.006363,0.000000,8.384461,1.019294,12.741180,10.553936
8,1MB,5,0.000070,0.000758,0.005281,0.000486,0.000014,0.005767,0.006539,0.000000,8.256630,1.003754,12.546926,11.612268
8,1MB,6,0.000054,0.000636,0.005168,0.000479,0.000014,0.005647,0.006296,0.000000,8.432993,1.025194,12.814930,10.121608
8,1MB,7,0.000049,0.000633,0.005182,0.000478,0.000014,0.005660,0.006307,0.000000,8.412701,1.022728,12.784094,10.055814
8,1MB,8,0.000052,0.000610,0.005183,0.000475,0.000014,0.005657,0.006281,0.000000,8.417170,1.023271,12.790885,9.730880
8,1MB,9,0.000062,0.000624,0.005266,0.000480,0.000019,0.005745,0.006389,0.000000,8.288245,1.007597,12.594968,9.797357
8,1MB,10,0.000092,0.000697,0.005220,0.000481,0.000015,0.005701,0.006413,0.000000,8.352210,1.015374,12.692172,10.891708
8,50MB,1,0.002978,0.023827,0.323710,0.042636,0.000896,0.366346,0.391069,0.000000,6.499190,1.065171,13.314635,6.106721
8,50MB,2,0.002653,0.023504,0.328187,0.043896,0.000915,0.372083,0.396502,0.000000,6.398980,1.048747,13.109338,5.941521
8,50MB,3,0.002727,0.023319,0.327574,0.042821,0.000809,0.370395,0.394523,0.000000,6.428150,1.053528,13.169099,5.922853
8,50MB,4,0.002677,0.023264,0.320061,0.043094,0.000755,0.363156,0.387175,0.000000,6.556285,1.074528,13.431603,6.020494
8,50MB,5,0.002634,0.023321,0.323525,0.043273,0.000733,0.366798,0.390853,0.000000,6.491179,1.063858,13.298222,5.977944
8,50MB,6,0.002666,0.023435,0.322316,0.043097,0.000742,0.365414,0.389590,0.000000,6.515772,1.067888,13.348606,6.026704
8,50MB,7,0.002701,0.023170,0.327016,0.042291,0.000815,0.369307,0.393292,0.000000,6.447082,1.056631,13.207883,5.903642
8,50MB,8,0.002642,0.024231,0.323983,0.043406,0.000737,0.367389,0.392356,0.000000,6.480745,1.062148,13.276848,6.187332
8,50MB,9,0.002614,0.023596,0.329506,0.042788,0.000812,0.372294,0.396702,0.000000,6.395352,1.048153,13.101906,5.960240
8,50MB,10,0.002733,0.023091,0.319462,0.043190,0.000331,0.362652,0.386075,0.000000,6.565386,1.076020,13.450248,5.986118
8,100MB,1,0.005259,0.042153,0.836507,0.121908,0.001031,0.958415,1.001599,0.000000,4.968522,1.051185,13.139810,4.212945
8,100MB,2,0.005380,0.042229,0.848034,0.120504,0.000625,0.968538,1.011392,0.000000,4.916590,1.040198,13.002470,4.177917
8,100MB,3,0.005248,0.041809,0.830441,0.120890,0.001205,0.951331,0.994344,0.000000,5.005521,1.059013,13.237657,4.209753
8,100MB,4,0.005375,0.041953,0.831200,0.120999,0.001156,0.952199,0.995307,0.000000,5.000958,1.058047,13.225590,4.219960
8,100MB,5,0.005267,0.041729,0.835420,0.121024,0.000642,0.956444,0.998815,0.000000,4.978759,1.053351,13.166882,4.180493
8,100MB,6,0.005414,0.043000,0.833310,0.122271,0.001072,0.955581,0.999653,0.000000,4.983254,1.054302,13.178769,4.306135
