size,run,time_io_s,time_alloc_s,time_sa_s,time_lcp_s,time_lrs_scan_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
1MB,1,0.000088,0.000794,0.005260,0.000490,0.000036,0.005750,0.006581,0.000000,8.281097,1.000000,100.000000,12.137714
1MB,2,0.000192,0.000753,0.005468,0.000482,0.000036,0.005950,0.006740,0.000000,8.002627,1.000000,100.000000,11.237177
1MB,3,0.000074,0.000601,0.005155,0.000477,0.000036,0.005632,0.006270,0.000000,8.454954,1.000000,100.000000,9.646950
1MB,4,0.000084,0.001006,0.005345,0.000485,0.000036,0.005830,0.006873,0.000000,8.167513,1.000000,100.000000,14.720752
1MB,5,0.000081,0.000713,0.005842,0.000483,0.000036,0.006325,0.007074,0.000000,7.528719,1.000000,100.000000,10.129112
1MB,6,0.000077,0.000623,0.005269,0.000504,0.000036,0.005773,0.006432,0.000000,8.249136,1.000000,100.000000,9.745790
1MB,7,0.000102,0.000780,0.005096,0.000494,0.000037,0.005590,0.006406,0.000000,8.519291,1.000000,100.000000,12.242721
1MB,8,0.000070,0.000694,0.005135,0.000490,0.000036,0.005625,0.006355,0.000000,8.466082,1.000000,100.000000,10.982517
1MB,9,0.000093,0.000620,0.005277,0.000484,0.000036,0.005760,0.006416,0.000000,8.266840,1.000000,100.000000,9.714284
1MB,10,0.000087,0.000695,0.005171,0.000484,0.000036,0.005654,0.006386,0.000000,8.421536,1.000000,100.000000,10.952606
50MB,1,0.002973,0.023932,0.315440,0.043854,0.001204,0.359294,0.384430,0.000000,6.626758,1.000000,100.000000,6.245007
50MB,2,0.002658,0.023860,0.327086,0.048312,0.001194,0.375398,0.400452,0.000000,6.342467,1.000000,100.000000,5.975982
50MB,3,0.002727,0.023925,0.339181,0.045576,0.001201,0.384757,0.409882,0.000000,6.188204,1.000000,100.000000,5.854166
50MB,4,0.002598,0.023975,0.332505,0.049699,0.001458,0.382203,0.407636,0.000000,6.229540,1.000000,100.000000,5.902488
50MB,5,0.003045,0.022834,0.371553,0.047456,0.001182,0.419009,0.443025,0.000000,5.682337,1.000000,100.000000,5.167993
50MB,6,0.003232,0.023531,0.327318,0.043762,0.001191,0.371080,0.395802,0.000000,6.416271,1.000000,100.000000,5.963095
50MB,7,0.002913,0.023809,0.340863,0.065960,0.001215,0.406824,0.431848,0.000000,5.852541,1.000000,100.000000,5.528939
50MB,8,0.002102,0.021076,0.366656,0.053075,0.001212,0.419731,0.442019,0.000000,5.672572,1.000000,100.000000,4.781173
50MB,9,0.002301,0.020854,0.360056,0.045086,0.001181,0.405142,0.427176,0.000000,5.876830,1.000000,100.000000,4.895248
50MB,10,0.002803,0.023218,0.333405,0.045364,0.001180,0.378769,0.403166,0.000000,6.286034,1.000000,100.000000,5.775755
100MB,1,0.005458,0.041918,0.857963,0.131590,0.002381,0.989553,1.033852,0.000000,4.812179,1.000000,100.000000,4.063933
100MB,2,0.005372,0.042559,0.828090,0.129965,0.002329,0.958056,1.002943,0.000000,4.970385,1.000000,100.000000,4.253275
100MB,3,0.005611,0.042595,0.825388,0.129999,0.002410,0.955386,1.000392,0.000000,4.984272,1.000000,100.000000,4.268142
100MB,4,0.005476,0.041641,0.907021,0.148046,0.002367,1.055067,1.099074,0.000000,4.513369,1.000000,100.000000,3.796906
100MB,5,0.005564,0.041840,0.845937,0.133960,0.002356,0.979897,1.024092,0.000000,4.859599,1.000000,100.000000,4.094950
100MB,6,0.005599,0.040940,0.863595,0.136930,0.002378,1.000525,1.043843,0.000000,4.759408,1.000000,100.000000,3.931005
100MB,7,0.005731,0.041913,0.898258,0.162676,0.002471,1.060933,1.105318,0.000000,4.488411,1.000000,100.000000,3.800419
100MB,8,0.005596,0.041428,0.895629,0.139362,0.002346,1.034992,1.078765,0.000000,4.600911,1.000000,100.000000,3.848648
100MB,9,0.005671,0.043305,0.933296,0.140374,0.002386,1.073671,1.119361,0.000000,4.435163,1.000000,100.000000,3.876979
100MB,10,0.005857,0.042920,0.836293,0.130338,0.002417,0.966630,1.011968,0.000000,4.926293,1.000000,100.000000,4.251400
200MB,1,0.011102,0.078496,1.946986,0.326819,0.004667,2.273805,2.356969,0.000000,4.188489,1.000000,100.000000,3.337006
200MB,2,0.011535,0.078995,1.919049,0.326855,0.004687,2.245904,2.329586,0.000000,4.240524,1.000000,100.000000,3.397773
200MB,3,0.011484,0.078795,1.928028,0.356988,0.004769,2.285016,2.368581,0.000000,4.167940,1.000000,100.000000,3.333400
200MB,4,0.011366,0.080128,2.086642,0.340132,0.004691,2.426774,2.511593,0.000000,3.924473,1.000000,100.000000,3.196299
200MB,5,0.011564,0.079136,1.900797,0.326458,0.004850,2.227256,2.311241,0.000000,4.276029,1.000000,100.000000,3.431143
200MB,6,0.010987,0.076918,1.969651,0.337112,0.004641,2.306764,2.388322,0.000000,4.128645,1.000000,100.000000,3.226853
