size,run,build_time
1MB,1,0.111782s
1MB,2,0.105109s
1MB,3,0.1086s
1MB,4,0.1081s
1MB,5,0.105473s
1MB,6,0.114895s
1MB,7,0.119072s
1MB,8,0.115807s
1MB,9,0.108297s
1MB,10,0.108168s
5MB,1,1.17806s
5MB,2,1.16642s
5MB,3,1.16744s
5MB,4,1.17171s
5MB,5,1.13375s
5MB,6,1.13559s
5MB,7,1.17159s
5MB,8,1.18109s
5MB,9,1.16838s
5MB,10,1.13029s
10MB,1,2.83303s
10MB,2,2.93249s
10MB,3,2.81947s
10MB,4,2.71919s
10MB,5,3.01696s
10MB,6,2.72072s
10MB,7,2.773s
10MB,8,2.73047s
10MB,9,2.72148s
10MB,10,2.73231s
50MB,1,18.0007s
50MB,2,18.0366s
50MB,3,17.1647s
50MB,4,18.2995s
50MB,5,16.8691s
50MB,6,17.563s
50MB,7,20.4952s
50MB,8,16.938s
50MB,9,16.7641s
50MB,10,16.7213s
100MB,1,35.7508s
100MB,2,35.6402s
100MB,3,36.1079s
100MB,4,45.3451s
100MB,5,35.7597s
100MB,6,37.271s
100MB,7,37.4956s
100MB,8,36.9768s
100MB,9,39.009s
100MB,10,36.3055s
500MB,1,214.055s
500MB,2,216.26s
500MB,3,230.387s
500MB,4,216.334s
500MB,5,217.652s
500MB,6,222.154s
500MB,7,221.806s
500MB,8,228.142s
500MB,9,231.247s
500MB,10,224.793s
