file,run,build_time_s
string_1MB.txt,1,0.113731
string_1MB.txt,2,0.10607
string_1MB.txt,3,0.10373
string_1MB.txt,4,0.103625
string_1MB.txt,5,0.105483
string_1MB.txt,6,0.113119
string_1MB.txt,7,0.106151
string_1MB.txt,8,0.118042
string_1MB.txt,9,0.115772
string_1MB.txt,10,0.112221
string_5MB.txt,1,1.19332
string_5MB.txt,2,1.24018
string_5MB.txt,3,1.15166
string_5MB.txt,4,1.13475
string_5MB.txt,5,1.14718
string_5MB.txt,6,1.10421
string_5MB.txt,7,1.15588
string_5MB.txt,8,1.18752
string_5MB.txt,9,1.20589
string_5MB.txt,10,1.17135
string_10MB.txt,1,2.819
string_10MB.txt,2,2.7366
string_10MB.txt,3,2.82406
string_10MB.txt,4,2.77266
string_10MB.txt,5,2.7077
string_10MB.txt,6,2.76146
string_10MB.txt,7,3.14308
string_10MB.txt,8,2.99003
string_10MB.txt,9,2.73639
string_10MB.txt,10,2.77808
string_50MB.txt,1,17.6861
string_50MB.txt,2,17.7776
string_50MB.txt,3,17.3602
string_50MB.txt,4,19.6846
string_50MB.txt,5,18.2356
string_50MB.txt,6,17.4842
string_50MB.txt,7,17.6646
string_50MB.txt,8,17.9678
string_50MB.txt,9,17.4402
string_50MB.txt,10,17.4037
string_100MB.txt,1,38.4139
string_100MB.txt,2,37.129
string_100MB.txt,3,36.7938
string_100MB.txt,4,37.0115
string_100MB.txt,5,37.0428
string_100MB.txt,6,38.9523
string_100MB.txt,7,38.1605
string_100MB.txt,8,38.7511
string_100MB.txt,9,38.0731
string_100MB.txt,10,37.9088
string_500MB.txt,1,233.537
string_500MB.txt,2,225.689
string_500MB.txt,3,216.265
string_500MB.txt,4,223.514
string_500MB.txt,5,229.861
string_500MB.txt,6,228.139
string_500MB.txt,7,218.228
string_500MB.txt,8,215.089
string_500MB.txt,9,206.898
string_500MB.txt,10,213.452
