size,run,build_time
1MB,1,0.095905s
1MB,2,0.0949913s
1MB,3,0.0967826s
1MB,4,0.11708s
1MB,5,0.0959656s
1MB,6,0.0958925s
1MB,7,0.0948019s
1MB,8,0.0947114s
1MB,9,0.0963411s
1MB,10,0.0953786s
5MB,1,1.04239s
5MB,2,0.983976s
5MB,3,1.0135s
5MB,4,1.02142s
5MB,5,0.99207s
5MB,6,1.02251s
5MB,7,1.08106s
5MB,8,1.07996s
5MB,9,1.03285s
5MB,10,1.00843s
10MB,1,2.48043s
10MB,2,2.42367s
10MB,3,2.38582s
10MB,4,2.38685s
10MB,5,2.52328s
10MB,6,2.37991s
10MB,7,2.48713s
10MB,8,2.81802s
10MB,9,2.47864s
10MB,10,2.40901s
50MB,1,16.5545s
50MB,2,16.6154s
50MB,3,16.7188s
50MB,4,16.8476s
50MB,5,16.9307s
50MB,6,17.2142s
50MB,7,17.0507s
50MB,8,16.868s
50MB,9,16.6491s
50MB,10,16.6696s
100MB,1,36.0778s
100MB,2,35.5108s
100MB,3,34.5787s
100MB,4,34.8843s
100MB,5,34.5729s
100MB,6,34.7389s
100MB,7,34.4077s
100MB,8,34.7216s
100MB,9,34.6283s
100MB,10,34.815s
500MB,1,197.708s
500MB,2,198.19s
500MB,3,197.111s
500MB,4,198.892s
500MB,5,199.761s
500MB,6,199.104s
500MB,7,200.063s
500MB,8,199.511s
500MB,9,198.932s
500MB,10,200.585s
